name,id,x,y,ground_elevation,invert_elevation,node_type
10-1-12,134,50289.32,40260.19,4898.72,4886.6,
10-1-13,134,50635.53,40258.77,4914.47,4898.27,19
10-1-15,134,50913.17,40259.17,4924.84,4914.18,
10-1-17,134,50911.51,39957,4920.49,4914.92,
10-1-18,134,50909.93,39710.91,4923.76,4915.38,
10-1-19,134,51191.01,39708.43,4927.8,4915.87,19
10-1-59,134,49870.12,41798.42,4878.36,4865.48,19
10-1-6,134,49604.95,40268.93,4894.86,4883.4,19
10-1-60,134,49595.06,42083.15,4874.84,4862.57,
10-1-61,134,49587.33,42209.75,4873.75,4858.68,
10-1-7,134,49887.9,40262.13,4895.64,4884.78,19
10-2-1,134,50938.35,42233.57,4933.46,4915.26,
10-2-10,134,50939.45,42866.91,4858.16,4842.59,
10-2-11,134,50940.8,43051.38,4846.62,4835.77,19
10-2-2,134,51288.17,42233.39,4929.95,4918.88,
10-2-22,134,50940.48,43217.75,4845.38,4835.07,
10-2-23,134,51032.41,43411.09,4844.57,4834.14,19
10-2-3,134,51594.86,42234.81,4933.88,4920.2,19
10-2-37,134,51033.49,43704.32,4841.22,4832.83,
10-2-39,134,51035.9,44009.48,4839.85,4831.74,
10-2-41,134,51037.24,44312.32,4838.28,4830.53,
10-2-43,134,51038.63,44397.78,4838.04,4830.11,19
10-2-48,134,50956.96,44717.4,4835.89,4829.07,19
10-2-50,134,50818.46,44718.25,4833.33,4828.42,
10-2-51,134,50817.1,44833.86,4838.09,4827.94,
10-2-52,134,51541.85,44807.28,4850.41,4839.68,19
10-2-56,134,51600.65,44793.09,4851.61,4840.51,
10-2-57,134,51817.36,44713.59,4855.02,4843.76,19
10-2-62,134,51916.88,44676.95,4857.25,4845.51,
10-2-8,134,50938.96,42476.49,4905.52,4894.07,19
10-3-103,134,54727.03,43492.09,5043.19,5032.74,
10-3-33,134,52283.35,44463.24,4864.18,4852.43,19
10-3-36,134,52590.15,44190.63,4874,4864.28,19
10-3-68,134,52756.78,44019.07,4889.21,4878.09,
10-3-69,134,52971.64,43797.23,4919.18,4908.38,
10-3-70,134,53286.21,43590.47,4955.89,4945.32,
10-3-71,134,53467.27,43524.72,4975.16,4963.4,19
10-3-82,134,53733.45,43513.5,4997.95,4987.42,
10-3-83,134,54019.46,43499.58,5014.83,5002.29,19
10-3-96,134,54380.99,43491.89,5032.29,5017.79,19
10-3-97,134,54400.71,43492.04,5033.05,5018.66,
11-2-17,134,54989.59,43491.5,5055.09,5044.62,19
11-2-18,134,55028.36,43491.83,5057.05,5046.7,
11-2-19,134,55102.95,43491.38,5060.92,5050.08,19
11-2-21,134,55172.16,43491.28,5064.42,5053.17,19
11-2-23,134,55441.06,43491.49,5076.66,5065.66,19
11-2-27,134,55826.97,43502,5089.68,5079.35,19
11-2-31,134,56118.1,43574.47,5100.82,5090.41,19
11-2-36,134,56505.06,43669.46,5116.49,5104.83,
11-2-37,134,56593.88,43691.37,5118.78,5107.02,19
11-2-41,134,56797.16,43742.1,5123.98,5112.08,
11-2-42,134,56820.87,43748.4,5124.66,5112.77,19
11-2-44,134,57094.6,43815.8,5132.91,5118.16,19
11-2-74,134,57436.46,43900.8,5141.62,5121.12,19
11-2-81,134,56246.91,43607.58,5106.4,5095.15,19
11-2-86,134,55795.81,43499.01,5088.84,5078.13,19
11-3-11,134,57823.26,43993.25,5146.96,5135.17,19
