name,type_code,us_node,ds_node,length,diameter,slope,roughness,shape,us_invert,ds_invert
100,136,1N-2-28,1N-2-27,592.17,2.75,0.22,0.013,1,4247.85,4246.55
101,136,1N-2-29,1N-2-28,240.34,2.75,0.279,0.013,1,4248.53,4247.86
102,136,1N-2-30,1N-2-29,193.04,3.25,0.109,0.013,1,4248.92,4248.71
1028,136,3-4-84,3-4-90,281.88,0.67,1.38,0.013,1,4871.37,4867.48
103,136,1N-3-5,1N-2-30,373.18,3.25,0.062,0.013,1,4249.17,4248.94
1035,136,3-4-90,3-4-92,309.11,0.67,1.702,0.013,1,4867.38,4862.12
1037,136,3-4-92,3-4-94,226.37,0.67,2.3,0.013,1,4861.78,4856.58
1038,136,3-4-94,3-4-95,34.95,0.67,0.77,0.013,1,4856.32,4856.05
1126,136,4-1-78,4-1-77,232.47,0.67,2.16,0.013,1,4664.34,4659.33
1127,136,4-1-79,4-1-78,421.82,0.67,2.124,0.013,1,4673.3,4664.34
1128,136,4-1-80,4-1-79,113.98,0.67,1.606,0.013,1,4675.23,4673.4
1131,136,4-1-83,4-1-80,336.98,0.67,1.95,0.013,1,4682.02,4675.45
1132,136,4-1-84,4-1-83,189.93,0.67,3.09,0.013,1,4687.92,4682.05
1137,136,4-1-89,4-1-84,261.55,0.67,3.05,0.013,1,4695.96,4687.99
1138,136,4-1-90,4-1-89,302.67,0.67,1.166,0.013,1,4699.59,4696.06
1139,136,4-1-91,4-1-90,263.81,0.67,1.308,0.013,1,4703.08,4699.63
1140,136,4-1-92,4-1-91,325.45,0.67,3.6,0.013,1,4720.21,4708.51
1141,136,4-1-93,4-1-92,150.33,0.67,1.2,0.013,1,4722.06,4720.26
1145,136,4-1-96,5-2-23,232.05,1,1.49,0.013,1,4676.39,4672.95
1184,136,4-2-38,4-1-93,276.27,0.833,0.376,0.013,1,4723.91,4722.87
1213,136,4-2-68,4-2-43,45.07,0.83,0.244,0.013,1,4725.12,4725.01
1214,136,4-2-69,4-2-68,159.48,0.83,0.257,0.013,1,4725.58,4725.17
1215,136,4-2-70,4-2-69,86.71,0.67,3.69,0.013,1,4729.05,4725.85
1217,136,4-2-72,4-2-70,170.06,0.667,3.575,0.013,1,4735.19,4729.11
1218,136,4-2-73,4-2-72,257.06,0.833,1.404,0.013,1,4738.92,4735.31
1220,136,4-2-75,4-2-74,455.66,0.83,6.04,0.013,1,4769.74,4742.24
1221,136,4-2-76,4-2-75,320.84,0.83,6.037,0.013,1,4789.29,4769.92
1223,136,4-2-77,4-2-76,335.03,0.83,0.54,0.013,1,4792.12,4790.3
1224,136,4-2-78,4-2-77,325.35,0.83,0.88,0.013,1,4794.99,4792.14
1225,136,4-2-79,4-2-78,364.92,0.83,0.62,0.013,1,4797.29,4795.04
1226,136,4-2-80,4-2-79,132.57,0.83,0.67,0.013,1,4798.28,4797.39
