Name,ID,X,Y,Sewer inputs,DWF enabled,Method,Units,Flow rate,Area,Density,Peaking factor,Winter water use,Landuse,Pattern,Pattern resolved
10-1-12,134,50289.32,40260.19,,true,0,,,,,,,,,
10-1-13,134,50635.53,40258.77,true,,,2,9,0,0,1,0,3,Daily1,Yes
10-1-15,134,50913.17,40259.17,,,,,,,,,,,,
10-1-17,134,50911.51,39957,,,,,,,,,,,,
10-1-18,134,50909.93,39710.91,,,,,,,,,,,,
10-1-19,134,51191.01,39708.43,true,,,2,170,0,0,1,0,3,Daily1,Yes
10-1-59,134,49870.12,41798.42,true,,,2,178,0,0,1,0,3,Daily1,Yes
10-1-6,134,49604.95,40268.93,true,,,2,10,0,0,1,0,3,Daily1,Yes
10-1-60,134,49595.06,42083.15,,,,,,,,,,,,
10-1-61,134,49587.33,42209.75,,true,0,,,,,,,,,
10-1-7,134,49887.9,40262.13,true,,,2,20,0,0,1,0,3,Daily1,Yes
10-2-1,134,50938.35,42233.57,,,,,,,,,,,,
10-2-10,134,50939.45,42866.91,,,,,,,,,,,,
10-2-11,134,50940.8,43051.38,true,,,2,43,0,0,1,0,3,Daily1,Yes
10-2-2,134,51288.17,42233.39,,true,0,,,,,,,,,
10-2-22,134,50940.48,43217.75,,,,,,,,,,,,
10-2-23,134,51032.41,43411.09,true,,,2,192,0,0,1,0,3,Daily1,Yes
10-2-3,134,51594.86,42234.81,true,,,2,220,0,0,1,0,3,Daily1,Yes
10-2-37,134,51033.49,43704.32,,,,,,,,,,,,
10-2-39,134,51035.9,44009.48,,,,,,,,,,,,
10-2-41,134,51037.24,44312.32,,,,,,,,,,,,
10-2-43,134,51038.63,44397.78,true,,,2,27,0,0,1,0,3,Daily1,Yes
10-2-48,134,50956.96,44717.4,true,,,2,19,0,0,1,0,3,Daily1,Yes
10-2-50,134,50818.46,44718.25,,true,0,,,,,,,,,
10-2-51,134,50817.1,44833.86,,,,,,,,,,,,
10-2-52,134,51541.85,44807.28,true,,,2,30,0,0,1,0,3,Daily1,Yes
10-2-56,134,51600.65,44793.09,,,,,,,,,,,,
10-2-57,134,51817.36,44713.59,true,,,2,19,0,0,1,0,3,Daily1,Yes
10-2-62,134,51916.88,44676.95,,,,,,,,,,,,
10-2-8,134,50938.96,42476.49,true,,,2,26,0,0,1,0,3,Daily1,Yes
10-3-103,134,54727.03,43492.09,,,,,,,,,,,,
10-3-33,134,52283.35,44463.24,true,,,2,113,0,0,1,0,3,Daily1,Yes
10-3-36,134,52590.15,44190.63,true,,,2,131,0,0,1,0,3,Daily1,Yes
10-3-68,134,52756.78,44019.07,,,,,,,,,,,,
10-3-69,134,52971.64,43797.23,,,,,,,,,,,,
10-3-70,134,53286.21,43590.47,,,,,,,,,,,,
10-3-71,134,53467.27,43524.72,true,,,2,63,0,0,1,0,3,Daily1,Yes
10-3-82,134,53733.45,43513.5,,,,,,,,,,,,
10-3-83,134,54019.46,43499.58,true,,,2,117,0,0,1,0,3,Daily1,Yes
10-3-96,134,54380.99,43491.89,true,,,2,112,0,0,1,0,3,Daily1,Yes
10-3-97,134,54400.71,43492.04,,,,,,,,,,,,
11-2-17,134,54989.59,43491.5,true,,,2,79,0,0,1,0,3,Daily1,Yes
11-2-18,134,55028.36,43491.83,,,,,,,,,,,,
11-2-19,134,55102.95,43491.38,true,,,2,1,0,0,1,0,3,Daily1,Yes
11-2-21,134,55172.16,43491.28,true,,,2,9,0,0,1,0,3,Daily1,Yes
11-2-23,134,55441.06,43491.49,true,,,2,14,0,0,1,0,3,Daily1,Yes
11-2-27,134,55826.97,43502,true,,,2,17,0,0,1,0,3,Daily1,Yes
11-2-31,134,56118.1,43574.47,true,,,2,6,0,0,1,0,3,Daily1,Yes
11-2-36,134,56505.06,43669.46,,,,,,,,,,,,
11-2-37,134,56593.88,43691.37,true,,,2,29,0,0,1,0,3,Daily1,Yes
11-2-41,134,56797.16,43742.1,,,,,,,,,,,,
11-2-42,134,56820.87,43748.4,true,,,2,9,0,0,1,0,3,Daily1,Yes
11-2-44,134,57094.6,43815.8,true,,,2,60,0,0,1,0,3,Daily1,Yes
11-2-74,134,57436.46,43900.8,true,,,2,119,0,0,1,0,3,Daily1,Yes
11-2-81,134,56246.91,43607.58,true,,,2,27,0,0,1,0,3,Daily1,Yes
11-2-86,134,55795.81,43499.01,true,,,2,4,0,0,1,0,3,Daily1,Yes
11-3-11,134,57823.26,43993.25,true,,,2,0,0,0,1,0,3,Daily1,Yes
11-3-12,134,58077.53,43960.67,true,,,2,15,0,0,1,0,3,Daily1,Yes
11-3-18,134,58279.21,43858.58,,,,,,,,,,,,
11-3-19,134,58403.4,43732.15,true,,,2,24,0,0,1,0,3,Daily1,Yes
11-3-27,134,58515.11,43544.12,true,,,2,29,0,0,1,0,3,Daily1,Yes
11-3-33,134,58610.99,43382.01,,,,,,,,,,,,
11-3-34,134,58672.9,43277.92,,true,0,,,,,,,,,
11-3-35,134,58756.33,43148.25,,true,0,,,,,,,,,
11-3-36,134,59194.44,43132.69,true,,,2,1,0,0,1,0,3,Daily1,Yes
11-3-37,134,59236.29,42861.28,,,,,,,,,,,,
11-3-38,134,59370.22,42838.68,,,,,,,,,,,,
11-3-39,134,59434.64,42678.82,,,,,,,,,,,,
11-3-40,134,59543.92,42516.7,true,,,2,1,0,0,1,0,3,Daily1,Yes
11-3-41,134,59746.31,42284.76,true,,,2,16,0,0,1,0,3,Daily1,Yes
11-3-48,134,58451.91,43648.58,true,true,0,2,7,0,0,1,0,3,Daily1,Yes
11-4-59,134,59889.23,41951.27,,,,,,,,,,,,
12-2-1,134,60057.25,41975.44,,true,0,,,,,,,,,
12-2-12,134,60862.16,42620.85,,,,,,,,,,,,
12-2-13,134,60997.84,42658,true,,,2,8,0,0,1,0,3,Daily1,Yes
12-2-15,134,61283.59,42647.74,true,,,2,8,0,0,1,0,3,Daily1,Yes
12-2-17,134,61431.56,42633.07,,,,,,,,,,,,
12-2-18,134,61541.14,42594.81,true,,,2,19,0,0,1,0,3,Daily1,Yes
12-2-2,134,60076.5,42270.8,,,,,,,,,,,,
12-2-22,134,61750.53,42520.42,,,,,,,,,,,,
12-2-23,134,61999.37,42510.72,true,,,2,11,0,0,1,0,3,Daily1,Yes
12-2-25,134,62362.73,42469.97,true,,,2,36,0,0,1,0,3,Daily1,Yes
12-2-25.1,134,62564.14,42494.36,,,,,,,,,,,,
12-2-3,134,60122.11,42431.67,true,,,2,2,0,0,1,0,3,Daily1,Yes
12-2-5,134,60436.6,42539.71,true,,,2,11,0,0,1,0,3,Daily1,Yes
12-2-7,134,60492.16,42428.67,true,,,2,36,0,0,1,0,3,Daily1,Yes
12-3-1,134,62853.93,42490.33,,,,,,,,,,,,
12-3-10,134,65156.22,42274.64,,,,,,,,,,,,
12-3-10.1,134,65401.34,42100.07,true,,,2,1394,0,0,1,0,3,Canyon_Daily,Yes
12-3-2,134,63101.47,42446.87,,,,,,,,,,,,
12-3-27,134,64063.68,42128.9,,,,,,,,,,,,
12-3-28,134,64338.81,42013.73,,,,,,,,,,,,
12-3-29,134,64553.25,41950.02,true,,,2,3,0,0,1,0,3,Daily1,Yes
12-3-3,134,63331.28,42376.41,,,,,,,,,,,,
12-3-30,134,64685.21,41960.63,,,,,,,,,,,,
12-3-31,134,64811.12,42012.79,,,,,,,,,,,,
12-3-32,134,64895.81,42055.38,,,,,,,,,,,,
12-3-4,134,63527.82,42388.11,,,,,,,,,,,,
12-3-5,134,63819.56,42300.58,,,,,,,,,,,,
12-3-6,134,63635.48,42355.64,true,,,2,31,0,0,1,0,3,Daily1,Yes
12-3-7,134,64947.15,42166.67,true,,,2,9,0,0,1,0,3,Daily1,Yes
12-3-8,134,65030.93,42259.52,,,,,,,,,,,,
12-3-9,134,65137.35,42289.67,,,,,,,,,,,,
16-1-10,134,44875.33,66695.07,true,,,2,11,0,0,1,0,3,Daily1,Yes
16-1-13,134,44993.15,66691.99,true,,,2,41,0,0,1,0,3,Daily1,Yes
16-1-16,134,45093.22,66690.09,,,,,,,,,,,,
16-1-17,134,45489.06,66681.81,true,,,2,0,0,0,1,0,3,Daily1,Yes
16-1-18,134,45903.35,66672.86,,,,,,,,,,,,
16-1-19,134,46288.62,66666.75,true,,,2,2,0,0,1,0,3,Daily1,Yes
16-1-20,134,46741.06,66658.66,,,,,,,,,,,,
16-1-8,134,44294.09,66706.97,,,,,,,,,,,,
16-1-9,134,44699.01,66698.65,,,,,,,,,,,,
16-2-10,134,45324.4,70030.3,true,,,2,25,0,0,1,0,3,Daily1,Yes
16-2-11,134,45546.02,70028.32,true,,,2,102,0,0,1,0,3,Daily1,Yes
16-2-17,134,45695.51,70012.16,true,,,2,124,0,0,1,0,3,Daily1,Yes
16-2-3,134,45323.55,70014,,,,,,,,,,,,
16-2-4,134,45534.28,70013.32,true,,,2,203,0,0,1,0,3,Daily1,Yes
16-2-44,134,45458.53,70277.29,,,,,,,,,,,,
16-2-45,134,45323.22,70658.56,,,,,,,,,,,,
16-2-46,134,45163.46,71109.03,,,,,,,,,,,,
16-2-47,134,45160.02,71118.74,,,,,,,,,,,,
16-2-48,134,45059.4,71402.71,,,,,,,,,,,,
16-2-49,134,45842.79,70012.09,true,,,2,5,0,0,1,0,3,Daily1,Yes
16-2-51,134,46326.64,70010.24,,,,,,,,,,,,
16-2-53,134,46616.11,70008,true,,,2,208,0,0,1,0,3,Daily1,Yes
16-2-54,134,46612.57,69559.44,,,,,,,,,,,,
16-2-55,134,46610.5,69121.44,,,,,,,,,,,,
16-2-56,134,46778.17,69123.75,true,,,2,16,0,0,1,0,3,Daily1,Yes
16-2-58,134,46793.54,68762.41,,,,,,,,,,,,
16-3-27,134,47024.4,68616.14,true,,,2,24,0,0,1,0,3,Daily1,Yes
